Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,18
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,18
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,18
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,18
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19962
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19982
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00037774
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000342374
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00016487
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000342374
design_powergrid__voltage__worst,0.000342374
design_powergrid__voltage__worst__net:VPWR,1.19962
design_powergrid__drop__worst,0.00037774
design_powergrid__drop__worst__net:VPWR,0.00037774
design_powergrid__voltage__worst__net:VGND,0.000342374
design_powergrid__drop__worst__net:VGND,0.000342374
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00017699999999999999262569050362259304165490902960300445556640625
ir__drop__worst,0.0003780000000000000265169830537814732451806776225566864013671875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
